Started job at 2024-02-07 09:25:58.301338
apnea_matrix length: 78, non_apnea_matrix length = 78, matrix length = 156
apnea_matrix length: 199, non_apnea_matrix length = 199, matrix length = 554
apnea_matrix length: 237, non_apnea_matrix length = 237, matrix length = 1028
apnea_matrix length: 637, non_apnea_matrix length = 637, matrix length = 2302
apnea_matrix length: 19, non_apnea_matrix length = 19, matrix length = 2340
apnea_matrix length: 14, non_apnea_matrix length = 14, matrix length = 2368
apnea_matrix length: 67, non_apnea_matrix length = 67, matrix length = 2502
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 2502
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 2510
apnea_matrix length: 931, non_apnea_matrix length = 931, matrix length = 4372
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 4376
Failed to load data
apnea_matrix length: 89, non_apnea_matrix length = 89, matrix length = 4554
apnea_matrix length: 175, non_apnea_matrix length = 175, matrix length = 4904
apnea_matrix length: 1041, non_apnea_matrix length = 1041, matrix length = 6986
apnea_matrix length: 46, non_apnea_matrix length = 46, matrix length = 7078
apnea_matrix length: 209, non_apnea_matrix length = 209, matrix length = 7496
apnea_matrix length: 10, non_apnea_matrix length = 10, matrix length = 7516
apnea_matrix length: 357, non_apnea_matrix length = 357, matrix length = 8230
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 8230
apnea_matrix length: 17, non_apnea_matrix length = 17, matrix length = 8264
apnea_matrix length: 39, non_apnea_matrix length = 39, matrix length = 8342
apnea_matrix length: 423, non_apnea_matrix length = 423, matrix length = 9188
apnea_matrix length: 42, non_apnea_matrix length = 42, matrix length = 9272
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 9272
apnea_matrix length: 10, non_apnea_matrix length = 10, matrix length = 9292
apnea_matrix length: 359, non_apnea_matrix length = 359, matrix length = 10010
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 10010
apnea_matrix length: 27, non_apnea_matrix length = 27, matrix length = 10064
apnea_matrix length: 233, non_apnea_matrix length = 233, matrix length = 10530
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 10530
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 10538
apnea_matrix length: 32, non_apnea_matrix length = 32, matrix length = 10602
apnea_matrix length: 824, non_apnea_matrix length = 824, matrix length = 12250
apnea_matrix length: 350, non_apnea_matrix length = 350, matrix length = 12950
apnea_matrix length: 33, non_apnea_matrix length = 33, matrix length = 13016
apnea_matrix length: 21, non_apnea_matrix length = 21, matrix length = 13058
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 13058
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 13064
apnea_matrix length: 48, non_apnea_matrix length = 48, matrix length = 13160
apnea_matrix length: 621, non_apnea_matrix length = 621, matrix length = 14402
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 14402
apnea_matrix length: 74, non_apnea_matrix length = 74, matrix length = 14550
apnea_matrix length: 10, non_apnea_matrix length = 10, matrix length = 14570
apnea_matrix length: 60, non_apnea_matrix length = 60, matrix length = 14690
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 14694
apnea_matrix length: 360, non_apnea_matrix length = 360, matrix length = 15414
apnea_matrix length: 66, non_apnea_matrix length = 66, matrix length = 15546
apnea_matrix length: 9, non_apnea_matrix length = 9, matrix length = 15564
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 15568
apnea_matrix length: 9, non_apnea_matrix length = 9, matrix length = 15586
apnea_matrix length: 341, non_apnea_matrix length = 341, matrix length = 16268
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 16268
apnea_matrix length: 8, non_apnea_matrix length = 8, matrix length = 16284
apnea_matrix length: 16, non_apnea_matrix length = 16, matrix length = 16316
apnea_matrix length: 386, non_apnea_matrix length = 386, matrix length = 17088
apnea_matrix length: 7, non_apnea_matrix length = 7, matrix length = 17102
apnea_matrix length: 63, non_apnea_matrix length = 63, matrix length = 17228
apnea_matrix length: 13, non_apnea_matrix length = 13, matrix length = 17254
apnea_matrix length: 341, non_apnea_matrix length = 341, matrix length = 17936
apnea_matrix length: 211, non_apnea_matrix length = 211, matrix length = 18358
apnea_matrix length: 99, non_apnea_matrix length = 99, matrix length = 18556
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 18556
apnea_matrix length: 7, non_apnea_matrix length = 7, matrix length = 18570
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 18570
apnea_matrix length: 173, non_apnea_matrix length = 173, matrix length = 18916
apnea_matrix length: 807, non_apnea_matrix length = 778, matrix length = 20501
apnea_matrix length: 105, non_apnea_matrix length = 105, matrix length = 20711
apnea_matrix length: 49, non_apnea_matrix length = 49, matrix length = 20809
apnea_matrix length: 335, non_apnea_matrix length = 335, matrix length = 21479
apnea_matrix length: 212, non_apnea_matrix length = 212, matrix length = 21903
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 21903
apnea_matrix length: 179, non_apnea_matrix length = 179, matrix length = 22261
apnea_matrix length: 276, non_apnea_matrix length = 276, matrix length = 22813
apnea_matrix length: 45, non_apnea_matrix length = 45, matrix length = 22903
apnea_matrix length: 42, non_apnea_matrix length = 42, matrix length = 22987
apnea_matrix length: 930, non_apnea_matrix length = 930, matrix length = 24847
apnea_matrix length: 46, non_apnea_matrix length = 46, matrix length = 24939
apnea_matrix length: 150, non_apnea_matrix length = 150, matrix length = 25239
apnea_matrix length: 296, non_apnea_matrix length = 296, matrix length = 25831
apnea_matrix length: 211, non_apnea_matrix length = 211, matrix length = 26253
apnea_matrix length: 22, non_apnea_matrix length = 22, matrix length = 26297
apnea_matrix length: 11, non_apnea_matrix length = 11, matrix length = 26319
apnea_matrix length: 13, non_apnea_matrix length = 13, matrix length = 26345
apnea_matrix length: 205, non_apnea_matrix length = 205, matrix length = 26755
apnea_matrix length: 15, non_apnea_matrix length = 15, matrix length = 26785
apnea_matrix length: 206, non_apnea_matrix length = 206, matrix length = 27197
apnea_matrix length: 339, non_apnea_matrix length = 339, matrix length = 27875
